更新时间,#genre#
2026-02-06 03:06:28,#genre#

央视频道,#genre#
东南卫视,http://114.248.6.123:8888/rtp/239.3.1.156:8148
东南卫视,http://114.250.23.126:4022/rtp/239.3.1.156:8148
海南卫视,http://112.254.55.106:22222/rtp/239.253.254.179:8000
海南卫视,http://124.77.177.88:5555/rtp/239.45.1.81:5140
海南卫视,http://124.77.177.88:5555/rtp/233.18.204.102:5140
海南卫视,http://171.124.111.237:8085/rtp/226.0.2.212:9608
海南卫视,http://183.129.136.102:9999/rtp/233.50.200.165:5140
河北卫视,http://112.254.55.106:22222/rtp/239.253.254.112:8000
河北卫视,http://124.65.5.35:20000/rtp/239.3.1.148:8072
河北卫视,http://124.77.177.88:5555/rtp/233.18.204.103:5140
河北卫视,http://124.77.177.88:5555/rtp/239.45.1.44:5140
河北卫视,http://222.129.32.179:6666/rtp/239.3.1.148:8072
河北卫视,http://brucex.space:4022/rtp/239.3.1.148:8072
河北卫视,http://www.brucex.space:4022/rtp/239.3.1.148:8072
河北卫视,http://171.124.111.237:8085/rtp/226.0.2.178:9336
河北卫视,http://183.129.136.102:9999/rtp/233.50.200.105:5140
河北卫视,http://183.129.136.102:9999/rtp/233.50.201.140:5140
河北卫视,http://114.248.6.123:8888/rtp/239.3.1.148:8072
河北卫视,http://114.250.23.126:4022/rtp/239.3.1.148:8072
河南卫视,http://112.254.55.106:22222/rtp/239.253.254.190:8000
河南卫视,http://124.65.5.35:20000/rtp/239.3.1.50:8184
河南卫视,http://124.77.177.88:5555/rtp/239.45.0.3:5140
河南卫视,http://124.77.177.88:5555/rtp/233.18.204.105:5140
河南卫视,http://222.129.32.179:6666/rtp/239.3.1.50:8184
河南卫视,http://brucex.space:4022/rtp/239.3.1.50:8184
河南卫视,http://www.brucex.space:4022/rtp/239.3.1.50:8184
河南卫视,http://171.124.111.237:8085/rtp/226.0.2.195:9472
河南卫视,http://183.129.136.102:9999/rtp/233.50.201.144:5140
河南卫视,http://183.129.136.102:9999/rtp/233.50.200.142:5140
河南卫视,http://114.248.6.123:8888/rtp/239.3.1.50:8184
河南卫视,http://114.250.23.126:4022/rtp/239.3.1.50:8184
湖北卫视,http://112.254.55.106:22222/rtp/239.253.254.88:8000
湖北卫视,http://124.65.5.35:20000/rtp/239.3.1.138:8044
湖北卫视,http://124.77.177.88:5555/rtp/233.18.204.92:5140
湖北卫视,http://124.77.177.88:5555/rtp/239.45.3.239:5140
湖北卫视,http://222.129.32.179:6666/rtp/239.3.1.138:8044
湖北卫视,http://brucex.space:4022/rtp/239.3.1.138:8044
湖北卫视,http://www.brucex.space:4022/rtp/239.3.1.138:8044
湖北卫视,http://171.124.111.237:8085/rtp/226.0.2.150:9112
湖北卫视,http://183.129.136.102:9999/rtp/233.50.200.147:5140
